	Rora cKO-Skin-MC-Treg-Replicate1	Rora cKO-Skin-MC-Treg-Replicate2	Rora cKO-Skin-MC-Treg-Replicate3	Rora cKO-Skin-Treg-Replicate1	Rora cKO-Skin-Treg-Replicate2	Rora cKO-Skin-Treg-Replicate3	WT-LN-Treg-Replicate1	WT-LN-Treg-Replicate2	WT-LN-Treg-Replicate3	WT-Skin-MC-Treg-Replicate1	WT-Skin-MC-Treg-Replicate2	WT-Skin-MC-Treg-Replicate3	WT-Skin-Treg-Replicate1	WT-Skin-Treg-Replicate2	WT-Skin-Treg-Replicate3
Srsf7	16988	16242	14521	22314	19708	25910	12584	14593	14383	20992	20339	20179	19313	26752	15679
Srsf9	1241	2020	3171	2702	3005	3465	794	479	616	2127	4614	860	1927	1901	994
Srxn1	649	651	666	830	678	838	84	130	59	1044	1066	822	765	579	692
Sry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ss18	8301	9153	8836	5387	6474	7132	4266	5258	4375	10120	9197	10600	5249	5120	5670
Ss18l1	129	140	168	224	470	249	101	125	148	247	296	172	241	215	232
Ssb	11092	9585	9523	10013	8747	11321	8535	10363	8946	11291	11277	11552	8336	9734	8976
Ssbp1	1169	982	880	1247	973	941	3171	3582	2854	1166	1332	1093	837	1246	1021
Ssbp2	240	265	292	299	558	305	2000	2245	1506	514	401	370	286	235	333
Ssbp3	1214	1297	2568	1870	2821	2585	1056	1023	1230	1597	2861	1129	1656	1579	1223
Ssbp4	1260	1203	1436	1325	1671	1477	1373	1382	1206	1419	1633	1402	1257	1535	737
Ssc5d	14	0	0	29	10	0	0	1	0	1	0	4	1	11	15
Ssfa2	314	370	330	396	552	543	170	117	230	590	503	422	508	373	317
Ssh1	508	305	349	314	548	481	613	576	782	519	675	509	606	231	313
Ssh2	6245	6308	6165	7235	8036	9442	2900	3280	4546	8893	5513	8910	8073	9445	6851
Ssh3	15	8	14	18	3	10	6	1	8	2	4	12	1	5	2
Ssmem1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0
Ssna1	1548	1404	1264	1604	1414	1680	2748	3169	1751	1637	1836	1284	1164	2160	1382
Sspn	6	11	4	0	0	0	5	0	12	9	8	6	14	6	3
Sspo	11	1	0	6	0	19	26	58	248	0	1	3	4	0	1
Ssr1	5808	4599	4940	5804	5144	5996	4783	5435	6051	6106	5293	6561	4956	4823	4102
Ssr2	3529	2773	2999	2655	1724	2039	3496	4234	4073	3531	3980	3853	1488	3318	1797
Ssr3	4426	3631	3881	4002	4314	4662	2804	3022	3430	5151	4747	5595	4182	2732	3548
Ssr4	3846	2934	3108	2795	1548	1873	3228	3833	3245	3571	3199	3161	1735	2377	1913
Ssrp1	2727	2379	2177	3007	2739	2727	6719	8593	9300	3003	3907	3586	2437	1841	2072
Sssca1	314	190	226	318	199	222	868	846	909	277	451	243	261	335	205
Sst	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sstr1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Sstr2	0	0	0	0	4	14	4	0	4	0	0	9	2	0	19
Sstr3	0	10	0	0	0	0	0	3	0	0	0	1	0	0	0
Sstr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sstr5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssty1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssty2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssu2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssu72	2191	1601	1780	1400	971	949	5183	6121	4604	2292	2096	2242	722	1094	906
Ssx2ip	84	92	187	169	335	398	70	41	71	118	303	71	191	189	215
Ssx9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssxb9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St13	3316	3137	3223	4186	3675	4431	3802	3988	4307	4503	4127	4480	4059	4977	3150
St14	228	246	240	259	369	288	337	347	626	370	358	526	314	278	256
St18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St3gal1	1200	665	1003	1492	1338	1894	1038	1134	1203	1203	1198	983	771	1340	1082
St3gal2	398	617	802	888	1078	1053	721	465	760	883	1097	539	929	813	625
St3gal3	31	40	45	65	40	40	69	104	137	55	87	64	57	83	46
St3gal4	936	998	973	857	594	894	883	956	690	986	984	1180	511	549	415
St3gal5	44	135	198	235	181	205	71	136	175	106	165	148	104	93	49
St3gal6	154	48	120	160	104	111	206	208	210	46	91	71	48	70	35
St5	3	6	10	4	2	25	15	14	42	23	14	22	26	7	21
St6gal1	1336	525	776	1382	1312	1887	4165	4267	5734	762	720	1076	1170	1269	1033
St6gal2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St6galnac1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St6galnac2	0	7	0	0	6	0	7	10	16	7	34	8	15	0	11
St6galnac3	21	33	27	56	41	11	258	395	370	138	97	182	163	199	215
St6galnac4	546	333	434	570	573	730	1147	1377	1795	636	553	640	635	597	615
St6galnac5	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1
St6galnac6	150	152	193	229	300	134	99	151	202	299	437	340	289	234	166
St7	171	202	200	152	233	128	174	207	163	293	359	154	109	130	180
St7l	670	606	633	539	452	454	821	921	784	736	672	646	410	361	421
St8sia1	64	49	75	20	23	20	467	532	322	67	39	62	12	55	2
St8sia2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St8sia3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
St8sia3os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St8sia4	2169	1757	1853	2210	2568	2440	2287	2372	3223	2133	1668	2080	2137	1618	1666
St8sia5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St8sia6	220	338	285	165	256	169	1608	1298	1009	156	176	124	84	55	56
Stab1	0	2	11	10	5	10	0	10	0	0	17	18	0	12	24
Stab2	1	0	0	0	0	0	0	1	5	0	0	1	2	2	1
Stac	0	0	4	3	18	0	0	0	0	0	0	4	1	54	18
Stac2	5	3	15	35	11	43	6	3	28	30	21	9	0	5	8
Stac3	2	0	6	2	0	5	0	5	10	3	12	3	5	48	0
Stag1	1056	880	882	987	1336	1169	1785	1742	2374	1103	917	1078	1231	966	1144
Stag2	1977	1737	1609	1444	2131	2142	2865	2925	3195	2190	1953	2558	1843	1502	1531
Stag3	4	0	4	14	13	2	3	6	8	0	1	8	10	0	2
Stam	598	463	453	550	601	699	606	742	658	648	717	723	485	408	481
Stam2	2079	2076	2186	2757	2711	3103	1541	1752	1729	2534	2712	3068	2673	2518	2395
Stambp	458	473	603	444	435	397	901	1137	1237	537	602	659	321	327	272
Stambpl1	913	1000	846	713	672	824	3329	3437	2529	1410	1253	1142	555	1012	826
Stamos	9	1	2	0	0	3	18	16	15	9	9	6	5	4	3
Stap1	984	592	500	975	908	967	1691	1936	1660	462	611	732	795	639	553
Stap2	16	0	10	44	0	0	9	9	31	7	38	5	27	86	10
Star	62	31	73	24	75	37	37	53	72	119	68	36	37	40	13
Stard10	104	132	158	278	246	283	125	98	95	226	288	154	210	311	178
Stard13	5	0	1	18	27	13	0	0	0	0	14	4	11	0	0
Stard3	1799	1496	1544	1333	942	1579	1467	1577	1546	2153	1731	1909	1442	1509	1080
Stard3nl	1295	974	1290	1349	1066	1584	1570	1647	1964	1659	1516	1545	985	1104	833
Stard4	1173	859	1068	1176	985	1234	400	418	505	1301	1147	1224	860	1095	743
Stard5	1613	1259	1264	1153	866	1106	966	1042	712	1529	1529	1385	685	675	580
Stard6	15	15	12	25	23	20	21	52	47	4	18	10	17	0	0
Stard7	880	808	746	1053	948	951	2288	2465	2645	1380	1348	1243	1029	835	717
Stard8	14	41	29	56	11	20	8	21	24	28	0	9	6	37	3
Stat1	9074	7096	10084	14926	17089	18157	32019	36018	31649	9002	6674	9821	12874	6698	13146
Stat2	1233	1092	1450	1553	2231	2229	1663	1791	2533	1376	920	1668	1561	1914	1262
Stat3	24623	21469	25542	28305	27972	36697	7624	8413	8475	31087	30597	37912	28181	23148	26027
Stat4	5920	6278	5729	3055	3504	3645	4792	5559	3767	7247	5587	7064	2418	1574	2845
Stat5a	6819	6811	7737	5246	5658	6504	2251	2760	3429	10405	10287	12784	6829	7264	6116
Stat5b	6653	6427	6930	4764	4211	5402	4820	4822	5562	9888	8718	9968	5457	4637	4549
Stat6	3172	3025	3010	2709	3820	3657	7135	8551	8584	4238	4323	5490	3630	2723	2879
Stau1	2541	2439	2247	3006	3846	4533	2143	2722	1979	3185	3240	3325	3121	2414	2472
Stau2	19	6	13	16	4	21	32	21	28	4	3	4	8	0	4
Stbd1	1	0	23	16	17	36	0	6	12	25	71	24	0	0	25
Stc1	0	7	37	0	0	0	0	0	0	0	23	65	9	11	44
Stc2	17	32	15	49	89	40	19	29	33	22	42	48	58	75	92
Steap1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0
Steap2	0	0	0	0	0	0	0	0	0	1	0	0	10	0	3
Steap3	10	16	34	32	0	18	0	0	17	8	11	10	9	0	14
Steap4	0	51	22	74	47	13	0	0	3	69	55	109	72	0	0
Stfa1	0	0	11	0	0	0	0	0	0	0	2	1	0	0	0
Stfa2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
Stfa2l1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stfa3	0	0	23	0	0	2	11	13	17	0	0	14	0	0	0
Stil	107	49	118	208	116	145	86	121	464	200	281	141	71	154	138
Stim1	1706	2087	1784	1825	1816	2291	1886	1898	2136	2316	2598	2925	2665	1792	1579
Stim2	1348	1389	1385	1154	2020	1910	2409	2548	2359	1553	1977	1582	1302	1038	1178
Stip1	6354	6077	5774	6994	6451	6691	5963	6296	7057	6604	7216	7312	5933	4423	4624
Stk10	2926	2333	2577	3055	4990	5012	6328	7424	7221	3175	3094	3592	4848	3038	3675
Stk11	1341	1747	1784	1533	1849	2530	279	241	325	2176	1483	1217	1469	5131	1430
Stk11ip	313	192	321	337	365	472	561	664	882	425	443	454	352	174	358
Stk16	1038	1008	1122	1106	750	1033	1383	1621	1172	1168	1313	1112	893	1086	608
Stk17b	34970	25946	28059	41499	40371	43208	18527	22420	19262	31502	24242	37343	33834	21658	23543
Stk19	1093	1091	1017	933	622	994	714	771	656	1496	1397	1280	702	1473	703
Stk24	894	989	1464	1426	1573	1911	841	611	667	1512	1806	797	1281	1499	865
Stk25	1740	1462	1317	2327	2401	2537	2494	2825	2770	2286	2038	1901	2287	2335	1803
Stk3	217	171	156	388	307	262	339	438	488	241	325	316	292	149	186
Stk31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk32a	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Stk32b	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
Stk32c	98	144	178	123	97	119	1	18	12	18	39	38	42	20	17
Stk33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk35	246	218	259	260	338	465	132	106	207	390	375	400	268	414	174
Stk36	0	0	2	0	0	0	0	1	3	0	5	2	4	0	0
Stk38	3387	3155	2671	2445	3067	3486	5543	6693	5892	3064	3613	3967	2245	2567	2067
Stk38l	525	374	523	767	1109	790	474	559	567	673	627	669	873	1045	731
Stk39	184	127	407	575	1137	958	214	172	298	238	601	148	383	333	229
Stk4	8475	7234	6370	6961	8643	8911	6615	6929	7259	8593	7277	8203	7621	7218	5618
Stk40	2873	3603	3774	3688	4584	5202	1186	839	907	4190	4590	2847	4374	3603	2185
Stmn1	6215	3811	4618	11562	6623	7535	4037	5662	10647	5700	8093	4675	5492	10135	7298
Stmn1-rs1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
Stmn2	27	33	26	10	0	8	0	8	11	23	123	6	4	0	15
Stmn3	3	0	0	0	3	0	0	0	0	0	0	0	4	10	0
Stmn4	0	0	0	1	0	0	1	0	1	0	0	0	0	0	6
Stmnd1	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0
Stom	694	500	766	503	337	554	73	101	133	1015	746	1194	316	220	367
Stoml1	110	107	134	151	221	174	551	764	660	266	187	172	124	159	51
Stoml2	1103	1121	1286	1029	894	966	2982	3681	2651	1523	1423	1300	755	1076	725
Stoml3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ston1	13	8	8	0	0	11	17	37	52	0	19	5	0	0	4
Ston2	104	141	85	61	5	83	20	8	27	121	35	92	18	7	18
Stox1	44	16	21	8	14	8	66	103	67	16	22	43	15	0	7
Stox2	0	0	0	7	0	0	0	0	2	0	1	0	0	0	15
Stpg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stpg2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
Stra13	885	639	630	908	506	656	1976	2354	1798	841	876	699	610	768	683
Stra6	0	0	0	0	0	0	58	109	37	0	0	0	0	0	5
Stra8	0	0	0	0	0	0	2	0	1	0	0	1	0	0	4
Strada	607	382	281	536	380	358	882	1103	1138	266	421	440	352	331	321
Stradb	405	440	327	474	283	487	775	1020	806	524	488	559	445	480	267
Strap	4431	4195	4123	4675	4250	5180	4368	5056	5254	5918	5666	5549	4466	4320	3771
Strbp	465	474	475	744	635	629	1045	1084	1332	647	529	535	670	482	738
Strc	0	0	0	0	0	0	3	9	1	0	0	1	14	0	0
Strip1	1403	1360	1651	1841	2973	2517	1814	2213	2161	1883	2031	2095	2425	1992	1621
Strip2	8	0	10	0	19	2	2	0	12	30	7	18	12	0	16
Strn	188	295	267	264	272	316	280	304	403	266	357	405	322	108	107
Strn3	975	996	1015	1476	1618	1824	642	548	615	1290	1221	862	1180	1684	1069
Strn4	641	797	1163	858	1288	1201	1468	1510	2013	917	983	1431	1521	1046	542
Stt3a	5196	3843	3944	4642	4055	5250	5964	6916	7458	5232	4953	6767	5095	2965	3968
Stt3b	1354	1090	1420	1672	1990	2236	2412	2544	3597	1429	1750	1696	1975	1199	1418
Stub1	995	1054	989	1436	1169	1529	1511	1680	1539	1352	1468	1168	1231	1842	1148
Stx11	9079	6688	8323	9555	9254	10186	1463	1631	2130	10624	12983	11810	12392	7043	7541
Stx12	1498	1333	1360	1460	1456	1471	1113	1304	1131	1648	1489	1772	1180	654	974
Stx16	317	255	241	225	205	337	610	642	956	164	308	375	269	159	195
Stx17	241	168	114	203	173	50	483	573	493	213	206	227	124	82	142
Stx18	445	334	306	360	426	306	969	1054	744	371	453	354	267	201	235
Stx19	23	1	1	21	5	20	5	0	4	1	6	5	1	26	7
Stx1a	192	128	163	305	423	403	467	470	391	344	239	199	305	398	269
Stx1b	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
Stx2	200	139	130	159	128	239	250	303	229	139	218	148	143	78	39
Stx3	57	100	84	93	158	79	78	56	48	121	105	110	74	103	72
Stx4a	1984	1697	1591	1742	1220	1684	2907	3099	2612	2095	1885	1882	1493	1442	954
Stx5a	5042	3987	4232	4946	5019	6277	3464	3950	3335	6561	5542	5786	5337	5899	4346
Stx6	3181	2560	2712	2649	2839	2333	4222	4855	4715	3147	3377	3691	1825	2048	2026
Stx7	1661	1417	1235	1991	1864	2102	1932	2053	2031	1478	1562	1680	1525	1400	1262
Stx8	1203	886	816	794	851	526	1442	1689	1335	1029	821	1031	763	1161	654
Stxbp1	391	262	229	523	588	622	77	93	100	304	380	333	505	395	374
Stxbp2	1697	1340	1403	1676	1594	2022	3764	4306	3725	1778	1976	1888	1529	1700	1708
Stxbp3a	2091	2038	1714	2085	2269	2951	1781	2445	1867	2335	2445	2654	2123	1827	1892
Stxbp3b	4	2	4	1	1	1	4	5	6	3	5	3	1	0	8
Stxbp4	44	53	28	29	52	28	100	93	121	106	49	60	56	97	85
Stxbp5	264	385	438	531	867	797	276	179	247	326	717	259	490	504	306
Stxbp5l	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2
Stxbp6	33	27	15	27	39	34	6	7	19	23	10	48	3	5	25
Styk1	0	0	0	5	2	0	0	0	0	0	2	0	0	0	0
Styx	431	322	355	375	295	420	280	286	390	483	543	474	334	334	231
Styxl1	1	1	0	2	0	0	5	30	9	0	0	0	3	1	1
Sub1	24631	18414	18875	27441	24804	27974	11846	14477	11691	26050	21406	23913	26395	43839	23662
Sucla2	2491	2110	1885	2257	1794	2251	2835	3257	2988	2952	2638	2674	2028	1977	2154
Suclg1	1780	1109	1471	1456	788	1157	4283	4837	4073	1830	2000	1679	1042	1295	998
Suclg2	814	577	563	718	1019	786	1852	2436	1873	800	1036	796	939	497	475
Sucnr1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
Suco	1633	1254	1093	2203	2356	2313	1513	1394	1564	1562	1422	1480	2193	2586	1947
Suds3	500	1202	2271	1780	2465	2738	540	240	285	1191	3761	352	1369	1105	575
Sufu	398	336	445	437	710	678	880	1037	1372	907	704	723	779	541	532
Sugct	2	0	0	7	0	0	2	1	7	0	0	2	0	0	0
Sugp1	1292	931	1132	914	746	1034	2097	2309	1989	1552	1615	1547	850	964	842
Sugp2	261	277	353	324	511	414	733	933	1222	383	490	495	455	434	224
Sugt1	2782	2477	2361	3411	2366	3038	2362	2767	2220	2954	2601	2698	2511	2576	2227
Sulf1	0	0	6	16	0	0	0	3	3	0	0	20	10	0	22
Sulf2	6	29	26	34	9	5	0	1	38	27	11	19	15	2	25
Sult1a1	5	10	46	46	12	12	17	0	22	14	23	40	9	26	29
Sult1b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult1c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult1c2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Sult1d1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult1e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2b1	192	173	202	218	263	304	21	56	78	325	238	251	221	311	232
Sult3a1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Sult4a1	51	13	18	127	141	122	0	1	6	75	36	36	102	173	82
Sult5a1	0	4	19	22	12	0	0	0	0	25	0	9	11	10	0
Sult6b1	7	7	2	1	0	1	12	13	17	0	6	2	0	0	3
Sumf1	396	246	323	315	501	317	932	922	951	356	459	424	294	211	257
Sumf2	240	158	138	153	108	75	734	910	631	136	231	141	117	288	127
Sumo1	13291	10588	11028	13584	11412	13094	11926	14269	11006	14569	12600	14097	11911	15948	11102
Sumo2	16459	15178	14685	16851	12923	14845	14959	17909	15433	18141	17698	19154	13802	15654	12892
Sumo3	3907	3921	3302	3886	3757	3202	3201	4255	3546	4645	5679	4413	2434	3399	2158
Sun1	596	514	414	925	804	1359	838	1001	1243	645	744	662	782	924	454
Sun2	363	722	524	458	403	520	465	424	503	449	315	347	385	691	304
Sun3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
Sun5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suox	1619	1993	2073	1467	1458	1797	1980	2390	1816	2332	2632	1969	1247	933	1395
Supt16	988	1178	1122	903	703	615	1831	1885	2085	1415	1063	1014	842	880	1003
Supt20	1085	985	908	1278	1439	1566	2660	2946	3077	1574	1420	1669	1451	865	1028
Supt3	402	386	317	297	213	298	547	752	642	313	321	405	144	89	155
Supt4a	5503	5554	4887	4965	4257	4690	5997	7177	4588	7272	6430	6151	4590	7284	4784
Supt5	4123	3750	4053	4014	5686	6590	6471	7603	7620	4730	5193	5755	5758	4558	4173
Supt6	1029	1148	1098	1091	1385	1555	1545	1554	2158	1736	1386	1457	1721	1909	1094
Supt7l	393	456	359	392	340	479	763	911	977	503	602	579	344	494	307
Supv3l1	387	215	277	380	394	274	693	853	732	337	382	338	311	161	316
Surf1	953	1125	994	713	587	593	1860	2140	1548	967	1150	1017	541	608	478
Surf2	576	590	417	632	557	731	1075	1276	942	609	818	621	471	607	596
Surf4	7863	5899	5673	6909	6960	7848	6312	7886	6636	8223	8887	7352	6283	7627	5916
Surf6	514	565	538	786	706	1042	1104	1587	1303	812	791	652	686	687	666
Susd1	32	9	14	16	14	4	80	137	172	20	6	19	3	3	9
Susd2	303	105	311	355	533	303	440	525	609	114	334	125	197	122	294
Susd3	583	636	669	701	430	518	849	1136	726	416	544	466	412	335	362
Susd4	0	0	0	15	0	0	66	86	93	0	0	7	0	0	5
Susd5	0	0	8	0	0	0	0	0	0	47	0	6	0	0	5
Suv39h1	611	627	676	1019	825	720	937	1094	1506	971	1160	895	799	712	711
Suv39h2	126	125	121	187	321	291	59	80	141	176	190	101	234	256	255
Suv420h1	1515	1309	1399	1162	1585	1993	3598	2743	4439	3402	3637	3393	2896	2443	2277
Suv420h2	533	517	344	430	417	575	769	869	1200	480	655	633	413	513	366
Suz12	1485	1752	1764	1749	1758	2218	882	631	1031	2250	2008	1327	1256	1570	1382
Sv2a	45	6	50	66	40	89	26	33	65	30	11	42	4	1	57
Sv2b	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Sv2c	2703	4671	3994	1932	1621	1949	76	90	63	2805	1431	2156	744	571	618
Sva	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sval1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sval2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sval3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Svep1	0	0	1	0	0	0	0	0	0	6	4	10	5	0	0
Svil	495	352	366	497	521	655	599	677	760	521	605	766	600	720	410
Svip	10	25	13	75	2	5	6	20	18	21	3	1	4	7	29
Svop	0	0	12	2	2	1	0	1	9	2	0	0	0	0	0
Svopl	0	0	3	0	0	0	0	0	0	0	0	5	0	0	1
Svs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Svs6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Swap70	6190	5190	4890	3665	4522	5396	2558	2983	4207	4783	4637	5541	3125	2167	2205
Swi5	3262	2740	2569	2731	1549	1925	4340	5126	4313	2643	3299	2859	1472	2015	1711
Swsap1	150	172	125	133	54	99	327	412	325	174	195	157	122	121	86
Swt1	1369	1265	1334	1480	1684	1796	1116	1324	1228	1625	1556	1654	1448	1682	1331
Syap1	2641	2036	1986	1984	1914	2133	2009	2240	1655	3237	2448	2655	1863	1697	1670
Sybu	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
Syce1	0	0	1	15	0	0	0	6	8	0	0	9	6	0	0
Syce1l	1	0	0	0	0	0	1	0	1	0	0	1	2	0	3
Syce2	211	105	174	349	180	227	170	224	397	177	300	137	140	252	166
Syce3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sycn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sycp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sycp1-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sycp2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	39
Sycp3	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0
Syde1	0	10	1	9	0	0	35	22	32	14	0	3	1	0	2
Syde2	0	1	4	0	19	0	0	0	1	25	0	0	14	0	0
Syf2	7672	6507	6354	7855	6780	9059	5797	7112	5002	8477	7656	9274	7599	9368	7225
Syk	0	54	35	5	14	46	140	180	866	3	0	14	6	13	5
Sympk	700	532	524	497	689	568	1183	999	1553	604	617	751	657	378	392
Syn1	7	21	0	25	3	4	8	9	11	0	5	6	6	8	0
Syn2	0	1	7	34	25	0	0	0	2	0	0	4	0	0	0
Syn3	10	0	0	10	0	0	16	34	38	35	1	9	2	12	30
Syna	0	0	0	0	0	0	2	2	6	0	0	1	0	0	0
Synb	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0
Sync	2	0	4	0	1	0	0	0	1	0	0	0	1	8	3
Syncrip	5097	4420	4303	5356	4700	5909	3443	3988	5061	5105	4970	5424	4818	4113	3656
Syndig1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Syndig1l	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0
Syne1	300	204	154	182	261	272	497	545	915	371	191	336	214	406	229
Syne2	1379	833	648	1980	2312	3084	523	455	615	1169	1051	860	1426	1801	1303
Syne3	355	274	301	391	441	432	248	254	379	207	306	376	537	193	195
Syne4	28	7	15	14	13	17	26	59	60	2	20	16	6	9	21
Syngap1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
Syngr1	7	10	10	27	14	12	6	3	5	11	3	10	18	56	7
Syngr2	6872	5575	6440	10563	7441	8009	5353	5818	6697	6618	8204	7298	6775	7162	8467
Syngr3	167	206	298	400	384	504	6	15	19	266	315	253	419	173	97
Syngr4	12	0	3	12	11	0	10	17	12	0	3	8	9	0	17
Synj1	999	863	823	1032	808	1080	607	740	1050	857	1032	1122	737	1015	584
Synj2	423	574	243	728	1019	883	922	865	1224	360	564	610	985	1133	764
Synj2bp	1830	1862	1691	1460	1408	960	2408	2655	2478	2350	2202	2031	1212	1254	1183
Synm	6	0	2	9	26	0	0	0	6	0	0	3	0	15	2
Synpo	28	18	32	21	45	28	373	269	565	12	67	45	20	8	8
Synpo2	0	0	21	7	3	0	0	0	23	19	19	5	0	0	30
Synpo2l	1	0	0	0	0	0	2	0	0	0	0	0	0	33	0
Synpr	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
Synrg	316	315	276	470	542	476	597	479	661	319	626	325	442	505	205
Syp	267	208	127	281	357	711	863	1222	729	163	143	138	303	256	204
Sypl	4065	2953	3178	3604	3119	3491	2389	2838	3175	3197	3122	3931	2736	1916	2347
Sypl2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Sys1	3241	2821	3070	2732	2917	2844	2723	3086	2410	3422	3033	3187	2569	2834	1748
Syt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syt10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syt11	2718	3087	2581	2693	2499	2548	2708	3030	2853	2473	2227	3009	1603	1606	899
Syt12	38	55	43	40	37	41	42	35	67	67	52	60	37	34	38
Syt13	7	0	5	0	31	0	0	0	0	20	19	26	0	0	0
Syt14	0	15	2	0	2	4	0	9	1	7	0	1	1	0	0
Syt15	14	8	24	13	5	19	7	7	15	15	12	17	4	25	34
Syt16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syt17	0	10	1	2	0	0	7	2	1	5	1	6	10	7	13
Syt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
