Gene stable ID	Transcript length (including UTRs and CDS)
ENSMUSG00000042429	763
ENSMUSG00000042429	4581
ENSMUSG00000103601	645
ENSMUSG00000027606	806
ENSMUSG00000027606	923
ENSMUSG00000027606	1035
ENSMUSG00000027606	955
ENSMUSG00000084806	2318
ENSMUSG00000073913	2369
ENSMUSG00000073913	942
ENSMUSG00000098030	1001
ENSMUSG00000087340	3440
ENSMUSG00000103081	4615
ENSMUSG00000103081	2796
ENSMUSG00000117001	1296
ENSMUSG00000109972	412
ENSMUSG00000021666	843
ENSMUSG00000021666	3074
ENSMUSG00000021666	3701
ENSMUSG00000021666	3157
ENSMUSG00000021666	1829
ENSMUSG00000021666	1463
ENSMUSG00000021666	4416
ENSMUSG00000021666	696
ENSMUSG00000021666	3089
ENSMUSG00000021666	765
ENSMUSG00000021666	2976
ENSMUSG00000021666	2542
ENSMUSG00000110293	1651
ENSMUSG00000064063	600
ENSMUSG00000107105	728
ENSMUSG00000062345	1970
ENSMUSG00000062345	1996
ENSMUSG00000062345	757
ENSMUSG00000062345	347
ENSMUSG00000026576	2580
ENSMUSG00000026576	453
ENSMUSG00000026576	628
ENSMUSG00000026576	618
ENSMUSG00000096029	5018
ENSMUSG00000096029	5184
ENSMUSG00000096029	4905
ENSMUSG00000096029	952
ENSMUSG00000100754	270
ENSMUSG00000042256	4226
ENSMUSG00000042256	1129
ENSMUSG00000042256	3918
ENSMUSG00000026622	3227
ENSMUSG00000026622	2044
ENSMUSG00000026622	767
ENSMUSG00000026622	452
ENSMUSG00000101065	280
ENSMUSG00000028348	2054
ENSMUSG00000099598	337
ENSMUSG00000100734	463
ENSMUSG00000092246	213
ENSMUSG00000040690	5206
ENSMUSG00000040690	410
ENSMUSG00000040690	4574
ENSMUSG00000040690	3519
ENSMUSG00000040690	383
ENSMUSG00000040690	5138
ENSMUSG00000040690	452
ENSMUSG00000040690	477
ENSMUSG00000040690	4037
ENSMUSG00000040690	717
ENSMUSG00000040690	322
ENSMUSG00000040690	445
ENSMUSG00000040690	833
ENSMUSG00000108224	672
ENSMUSG00000000365	5264
ENSMUSG00000000365	2077
ENSMUSG00000000365	1609
ENSMUSG00000000365	2180
ENSMUSG00000000365	621
ENSMUSG00000000365	680
ENSMUSG00000042451	2320
ENSMUSG00000042451	1828
ENSMUSG00000102002	330
ENSMUSG00000107809	4153
ENSMUSG00000100639	199
ENSMUSG00000080850	365
ENSMUSG00000101545	556
ENSMUSG00000041885	936
ENSMUSG00000102404	1916
ENSMUSG00000083091	336
ENSMUSG00000102041	463
ENSMUSG00000110117	553
ENSMUSG00000073737	996
ENSMUSG00000084787	2959
ENSMUSG00000063777	4106
ENSMUSG00000063777	930
ENSMUSG00000099409	696
ENSMUSG00000109742	1895
ENSMUSG00000098438	340
ENSMUSG00000113095	2884
ENSMUSG00000030043	2647
ENSMUSG00000030043	5021
ENSMUSG00000030043	4933
ENSMUSG00000086159	1163
ENSMUSG00000104259	2168
ENSMUSG00000113484	376
ENSMUSG00000112984	2884
ENSMUSG00000116879	13039
ENSMUSG00000116692	733
ENSMUSG00000113273	2884
ENSMUSG00000024402	1383
ENSMUSG00000083869	338
ENSMUSG00000030560	2493
ENSMUSG00000030560	3220
ENSMUSG00000030560	831
ENSMUSG00000030560	634
ENSMUSG00000030560	667
ENSMUSG00000113365	153
ENSMUSG00000116970	1075
ENSMUSG00000095248	4729
ENSMUSG00000095248	4324
ENSMUSG00000095248	4487
ENSMUSG00000095248	4382
ENSMUSG00000095248	948
ENSMUSG00000085256	517
ENSMUSG00000085256	691
ENSMUSG00000024184	1721
ENSMUSG00000024184	539
ENSMUSG00000024184	1661
ENSMUSG00000024184	673
ENSMUSG00000082280	1595
ENSMUSG00000103493	2282
ENSMUSG00000097745	1853
ENSMUSG00000113342	1576
ENSMUSG00000106398	342
ENSMUSG00000028970	3181
ENSMUSG00000028970	690
ENSMUSG00000028970	4306
ENSMUSG00000028970	654
ENSMUSG00000028970	735
ENSMUSG00000028970	489
ENSMUSG00000028970	584
ENSMUSG00000028970	613
ENSMUSG00000028970	3026
ENSMUSG00000021484	4315
ENSMUSG00000021484	787
ENSMUSG00000021484	645
ENSMUSG00000021484	3331
ENSMUSG00000105327	316
ENSMUSG00000007440	5359
ENSMUSG00000104617	609
ENSMUSG00000039058	3323
ENSMUSG00000039058	755
ENSMUSG00000039058	385
ENSMUSG00000059043	6240
ENSMUSG00000059043	6135
ENSMUSG00000059043	939
ENSMUSG00000043972	1906
ENSMUSG00000092286	1662
ENSMUSG00000037649	1555
ENSMUSG00000037649	649
ENSMUSG00000054976	3393
ENSMUSG00000054976	3471
ENSMUSG00000054976	4919
ENSMUSG00000054976	4540
ENSMUSG00000054976	7501
ENSMUSG00000020415	741
ENSMUSG00000020415	1674
ENSMUSG00000020415	476
ENSMUSG00000020415	700
ENSMUSG00000020415	696
ENSMUSG00000020415	948
ENSMUSG00000020415	954
ENSMUSG00000020415	634
ENSMUSG00000020415	534
ENSMUSG00000020415	388
ENSMUSG00000082956	4208
ENSMUSG00000035834	3054
ENSMUSG00000035834	2630
ENSMUSG00000035834	424
ENSMUSG00000035834	733
ENSMUSG00000035834	658
ENSMUSG00000107776	258
ENSMUSG00000110827	320
ENSMUSG00000110827	691
ENSMUSG00000071454	2820
ENSMUSG00000071454	2355
ENSMUSG00000071454	1781
ENSMUSG00000071454	2390
ENSMUSG00000071454	3689
ENSMUSG00000071454	3768
ENSMUSG00000071454	2218
ENSMUSG00000071454	1873
ENSMUSG00000071454	2157
ENSMUSG00000071454	1629
ENSMUSG00000071454	2381
ENSMUSG00000071454	2175
ENSMUSG00000071454	2428
ENSMUSG00000071454	384
ENSMUSG00000071454	1493
ENSMUSG00000071454	2376
ENSMUSG00000071454	2112
ENSMUSG00000071454	1585
ENSMUSG00000071454	664
ENSMUSG00000071454	388
ENSMUSG00000071454	715
ENSMUSG00000071454	648
ENSMUSG00000071454	545
ENSMUSG00000071454	414
ENSMUSG00000071454	400
ENSMUSG00000102840	1624
ENSMUSG00000039704	8099
ENSMUSG00000039704	3210
ENSMUSG00000039704	621
ENSMUSG00000039704	763
ENSMUSG00000023707	1596
ENSMUSG00000023707	1838
ENSMUSG00000023707	1474
ENSMUSG00000023707	532
ENSMUSG00000023707	708
ENSMUSG00000023707	454
ENSMUSG00000023707	600
ENSMUSG00000023707	818
ENSMUSG00000023707	770
ENSMUSG00000023707	878
ENSMUSG00000111877	764
ENSMUSG00000066268	5001
ENSMUSG00000066268	6169
ENSMUSG00000066268	4562
ENSMUSG00000066268	954
ENSMUSG00000047046	553
ENSMUSG00000047046	609
ENSMUSG00000106058	247
ENSMUSG00000068122	3283
ENSMUSG00000068122	314
ENSMUSG00000111008	2747
ENSMUSG00000082416	263
ENSMUSG00000102191	965
ENSMUSG00000111183	858
ENSMUSG00000048206	990
ENSMUSG00000048206	655
ENSMUSG00000104610	469
ENSMUSG00000027955	6729
ENSMUSG00000027955	436
ENSMUSG00000027955	552
ENSMUSG00000027955	3590
ENSMUSG00000027955	6627
ENSMUSG00000066116	354
ENSMUSG00000096977	2586
ENSMUSG00000096977	380
ENSMUSG00000064225	8367
ENSMUSG00000023348	2168
ENSMUSG00000023348	366
ENSMUSG00000023348	828
ENSMUSG00000023348	364
ENSMUSG00000084384	792
ENSMUSG00000082181	219
ENSMUSG00000051392	4051
ENSMUSG00000051392	963
ENSMUSG00000110473	474
ENSMUSG00000032405	5564
ENSMUSG00000032405	2895
ENSMUSG00000032405	2492
ENSMUSG00000032405	739
ENSMUSG00000032405	748
ENSMUSG00000013653	926
ENSMUSG00000110462	2310
ENSMUSG00000085754	294
ENSMUSG00000085754	1250
ENSMUSG00000085754	785
ENSMUSG00000085754	569
ENSMUSG00000114127	783
ENSMUSG00000028745	1674
ENSMUSG00000028745	669
ENSMUSG00000028745	1702
ENSMUSG00000028745	353
ENSMUSG00000028745	1559
ENSMUSG00000028745	1390
ENSMUSG00000028745	632
ENSMUSG00000028745	388
ENSMUSG00000028745	730
ENSMUSG00000028745	1604
ENSMUSG00000028745	498
ENSMUSG00000104148	5361
ENSMUSG00000104148	4645
ENSMUSG00000098449	652
ENSMUSG00000015090	830
ENSMUSG00000015090	1327
ENSMUSG00000015090	645
ENSMUSG00000015090	901
ENSMUSG00000015090	775
ENSMUSG00000104874	1066
ENSMUSG00000105229	1422
ENSMUSG00000028610	1327
ENSMUSG00000028610	1861
ENSMUSG00000028610	704
ENSMUSG00000058287	1356
ENSMUSG00000086380	441
ENSMUSG00000008730	7939
ENSMUSG00000008730	3967
ENSMUSG00000008730	4185
ENSMUSG00000008730	3546
ENSMUSG00000008730	2952
ENSMUSG00000008730	545
ENSMUSG00000008730	2430
ENSMUSG00000109244	4387
ENSMUSG00000042694	1992
ENSMUSG00000042694	802
ENSMUSG00000042694	1618
ENSMUSG00000042694	558
ENSMUSG00000042694	523
ENSMUSG00000042694	1107
ENSMUSG00000042694	748
ENSMUSG00000042694	430
ENSMUSG00000042694	690
ENSMUSG00000042694	132
ENSMUSG00000052748	3688
ENSMUSG00000052748	2855
ENSMUSG00000052748	317
ENSMUSG00000052748	323
ENSMUSG00000052748	522
ENSMUSG00000052748	752
ENSMUSG00000052748	2850
ENSMUSG00000052748	490
ENSMUSG00000052748	5176
ENSMUSG00000052748	1432
ENSMUSG00000006301	2378
ENSMUSG00000006301	3311
ENSMUSG00000006301	2546
ENSMUSG00000006301	11011
ENSMUSG00000006301	542
ENSMUSG00000006301	499
ENSMUSG00000006301	445
ENSMUSG00000006301	664
ENSMUSG00000089898	495
ENSMUSG00000021413	7844
ENSMUSG00000021413	1727
ENSMUSG00000021413	3648
ENSMUSG00000021413	2572
ENSMUSG00000021413	791
ENSMUSG00000021413	520
ENSMUSG00000021413	958
ENSMUSG00000021413	676
ENSMUSG00000021413	419
ENSMUSG00000021413	937
ENSMUSG00000004056	4544
ENSMUSG00000004056	453
ENSMUSG00000004056	1125
ENSMUSG00000004056	685
ENSMUSG00000004056	712
ENSMUSG00000004056	417
ENSMUSG00000004056	3122
ENSMUSG00000004056	2923
ENSMUSG00000004056	940
ENSMUSG00000004056	448
ENSMUSG00000004056	1392
ENSMUSG00000004056	983
ENSMUSG00000004056	770
ENSMUSG00000004056	2865
ENSMUSG00000037747	2877
ENSMUSG00000037747	1540
ENSMUSG00000037747	635
ENSMUSG00000037747	1877
ENSMUSG00000037747	3485
ENSMUSG00000037747	598
ENSMUSG00000037747	2011
ENSMUSG00000037747	1665
ENSMUSG00000037747	326
ENSMUSG00000037747	359
ENSMUSG00000085486	755
ENSMUSG00000085486	573
ENSMUSG00000109230	949
ENSMUSG00000097279	1334
ENSMUSG00000105870	301
ENSMUSG00000027472	1273
ENSMUSG00000027472	1299
ENSMUSG00000027472	458
ENSMUSG00000027472	441
ENSMUSG00000027472	432
ENSMUSG00000027472	323
ENSMUSG00000027472	879
ENSMUSG00000027472	377
ENSMUSG00000102487	696
ENSMUSG00000017550	7266
ENSMUSG00000017550	4572
ENSMUSG00000017550	550
ENSMUSG00000017550	7272
ENSMUSG00000102847	615
ENSMUSG00000084170	349
ENSMUSG00000103773	356
ENSMUSG00000029235	1049
ENSMUSG00000029235	1181
ENSMUSG00000103985	4136
ENSMUSG00000102347	696
ENSMUSG00000032097	6029
ENSMUSG00000032097	3502
ENSMUSG00000032097	6065
ENSMUSG00000030741	2219
ENSMUSG00000030741	3251
ENSMUSG00000030741	2017
ENSMUSG00000030741	2152
ENSMUSG00000030741	2001
ENSMUSG00000030741	787
ENSMUSG00000030741	821
ENSMUSG00000030741	1100
ENSMUSG00000030741	435
ENSMUSG00000030741	867
ENSMUSG00000030741	619
ENSMUSG00000030741	829
ENSMUSG00000030741	346
ENSMUSG00000097430	2239
ENSMUSG00000097430	1923
ENSMUSG00000097430	1758
ENSMUSG00000099635	857
ENSMUSG00000049775	768
ENSMUSG00000049775	698
ENSMUSG00000049775	864
ENSMUSG00000104480	696
ENSMUSG00000093460	2737
ENSMUSG00000093460	1265
ENSMUSG00000093460	2889
ENSMUSG00000093460	5601
ENSMUSG00000093460	600
ENSMUSG00000093460	1787
ENSMUSG00000093460	4094
ENSMUSG00000093460	524
ENSMUSG00000093460	537
ENSMUSG00000093460	567
ENSMUSG00000093460	1404
ENSMUSG00000093460	791
ENSMUSG00000093460	722
ENSMUSG00000042766	3252
ENSMUSG00000042766	2721
ENSMUSG00000042766	3122
ENSMUSG00000042766	996
ENSMUSG00000042766	2444
ENSMUSG00000042766	357
ENSMUSG00000105230	940
ENSMUSG00000046387	4660
ENSMUSG00000024240	3817
ENSMUSG00000024240	3965
ENSMUSG00000024240	721
ENSMUSG00000024240	565
ENSMUSG00000045876	462
ENSMUSG00000045876	3334
ENSMUSG00000054115	3118
ENSMUSG00000054115	6185
ENSMUSG00000054115	1819
ENSMUSG00000054115	1391
ENSMUSG00000054115	852
ENSMUSG00000112978	634
ENSMUSG00000059991	2536
ENSMUSG00000033105	352
ENSMUSG00000033105	3969
ENSMUSG00000033105	4667
ENSMUSG00000033105	6992
ENSMUSG00000033105	641
ENSMUSG00000033105	314
ENSMUSG00000033105	4871
ENSMUSG00000033105	425
ENSMUSG00000020840	623
ENSMUSG00000020840	2497
ENSMUSG00000020840	682
ENSMUSG00000020840	3047
ENSMUSG00000020840	700
ENSMUSG00000020840	1490
ENSMUSG00000020840	687
ENSMUSG00000020840	653
ENSMUSG00000020840	882
ENSMUSG00000045498	3787
ENSMUSG00000097990	2765
ENSMUSG00000102836	313
ENSMUSG00000042670	955
ENSMUSG00000029337	2501
ENSMUSG00000029337	600
ENSMUSG00000082524	171
ENSMUSG00000103332	4689
ENSMUSG00000042631	2711
ENSMUSG00000043388	2805
ENSMUSG00000043388	564
ENSMUSG00000051316	3302
ENSMUSG00000103294	807
ENSMUSG00000028089	3008
ENSMUSG00000028089	501
ENSMUSG00000028089	2941
ENSMUSG00000027474	2280
ENSMUSG00000027474	627
ENSMUSG00000027474	417
ENSMUSG00000027474	2158
ENSMUSG00000063446	3940
ENSMUSG00000063446	2558
ENSMUSG00000063446	1808
ENSMUSG00000102440	4724
ENSMUSG00000102440	3037
ENSMUSG00000059768	934
ENSMUSG00000059768	897
ENSMUSG00000111301	318
ENSMUSG00000111264	2766
ENSMUSG00000111030	909
ENSMUSG00000043259	2585
ENSMUSG00000043259	2720
ENSMUSG00000043259	4820
ENSMUSG00000043259	3310
ENSMUSG00000043259	3464
ENSMUSG00000043259	3262
ENSMUSG00000043259	3380
ENSMUSG00000067101	905
ENSMUSG00000067101	1003
ENSMUSG00000067101	378
ENSMUSG00000106273	381
ENSMUSG00000104545	2931
ENSMUSG00000057816	861
ENSMUSG00000057816	214
ENSMUSG00000057816	548
ENSMUSG00000057816	1018
ENSMUSG00000054362	380
ENSMUSG00000054362	1552
ENSMUSG00000054362	1569
ENSMUSG00000054362	1549
ENSMUSG00000038805	2419
ENSMUSG00000038805	3680
ENSMUSG00000038805	2838
ENSMUSG00000042364	4447
ENSMUSG00000042364	3269
ENSMUSG00000042364	549
ENSMUSG00000091228	991
ENSMUSG00000040522	3431
ENSMUSG00000040522	491
ENSMUSG00000040522	485
ENSMUSG00000040522	387
ENSMUSG00000040522	3158
ENSMUSG00000020857	1012
ENSMUSG00000020857	734
ENSMUSG00000031881	586
ENSMUSG00000031881	2923
ENSMUSG00000031881	2874
ENSMUSG00000031881	506
ENSMUSG00000031881	2910
ENSMUSG00000031881	733
ENSMUSG00000031881	474
ENSMUSG00000031881	519
ENSMUSG00000031881	594
ENSMUSG00000031881	646
ENSMUSG00000031881	421
ENSMUSG00000031881	720
ENSMUSG00000031881	730
ENSMUSG00000031881	632
ENSMUSG00000035575	2308
ENSMUSG00000035575	3877
ENSMUSG00000035575	648
ENSMUSG00000035575	559
ENSMUSG00000003283	2092
ENSMUSG00000003283	2092
ENSMUSG00000003283	2090
ENSMUSG00000003283	1575
ENSMUSG00000037703	4169
ENSMUSG00000037703	3827
ENSMUSG00000037703	4201
ENSMUSG00000027966	2064
ENSMUSG00000027966	7667
ENSMUSG00000027966	2519
ENSMUSG00000027966	969
ENSMUSG00000027966	675
ENSMUSG00000027966	2112
ENSMUSG00000027966	2570
ENSMUSG00000112279	601
ENSMUSG00000032688	1834
ENSMUSG00000032688	5073
ENSMUSG00000032688	4316
ENSMUSG00000032688	4028
ENSMUSG00000032688	6404
ENSMUSG00000032688	556
ENSMUSG00000030559	1577
ENSMUSG00000030559	579
ENSMUSG00000103403	2866
ENSMUSG00000099931	1734
ENSMUSG00000099931	3227
ENSMUSG00000103013	319
ENSMUSG00000102432	1257
ENSMUSG00000102432	455
ENSMUSG00000026179	740
ENSMUSG00000026179	2937
ENSMUSG00000026179	881
ENSMUSG00000026179	435
ENSMUSG00000026179	3054
ENSMUSG00000026179	416
ENSMUSG00000026179	2859
ENSMUSG00000026179	3599
ENSMUSG00000103043	1233
ENSMUSG00000092370	242
ENSMUSG00000043019	3262
ENSMUSG00000043019	6327
ENSMUSG00000043019	3115
ENSMUSG00000043019	3127
ENSMUSG00000107289	325
ENSMUSG00000092411	1429
ENSMUSG00000081258	270
ENSMUSG00000100156	370
ENSMUSG00000106854	201
ENSMUSG00000083425	156
ENSMUSG00000080748	556
ENSMUSG00000107117	2982
ENSMUSG00000074981	1497
ENSMUSG00000074981	5296
ENSMUSG00000074981	2779
ENSMUSG00000074981	618
ENSMUSG00000074981	3093
ENSMUSG00000092382	135
ENSMUSG00000086248	234
ENSMUSG00000068290	893
ENSMUSG00000068290	421
ENSMUSG00000068290	449
ENSMUSG00000068290	518
ENSMUSG00000068290	1238
ENSMUSG00000068290	404
ENSMUSG00000070621	897
ENSMUSG00000113170	2093
ENSMUSG00000015354	4438
ENSMUSG00000015354	623
ENSMUSG00000020829	1978
ENSMUSG00000020829	749
ENSMUSG00000020829	1834
ENSMUSG00000103088	4684
ENSMUSG00000037601	3181
ENSMUSG00000037601	493
ENSMUSG00000037601	452
ENSMUSG00000024403	1882
ENSMUSG00000024403	524
ENSMUSG00000024403	483
ENSMUSG00000024403	1045
ENSMUSG00000024403	1528
ENSMUSG00000024403	1041
ENSMUSG00000106753	2129
ENSMUSG00000086617	182
ENSMUSG00000086617	472
ENSMUSG00000107208	1577
ENSMUSG00000001014	971
ENSMUSG00000001014	1028
ENSMUSG00000107312	1850
ENSMUSG00000107148	4361
ENSMUSG00000042747	834
ENSMUSG00000042747	1172
ENSMUSG00000042747	582
ENSMUSG00000042747	426
ENSMUSG00000107363	2870
ENSMUSG00000100825	589
ENSMUSG00000027166	1197
ENSMUSG00000027166	697
ENSMUSG00000027166	527
ENSMUSG00000027166	339
ENSMUSG00000027166	605
ENSMUSG00000107234	1031
ENSMUSG00000086585	589
ENSMUSG00000106673	2391
ENSMUSG00000105004	3905
ENSMUSG00000037653	2859
ENSMUSG00000037653	1860
ENSMUSG00000101936	442
ENSMUSG00000102885	375
ENSMUSG00000029072	3523
ENSMUSG00000081916	551
ENSMUSG00000086241	1237
ENSMUSG00000097535	1730
ENSMUSG00000087037	1608
ENSMUSG00000032174	2947
ENSMUSG00000111144	248
ENSMUSG00000099522	315
ENSMUSG00000081650	567
ENSMUSG00000039953	4459
ENSMUSG00000039953	3319
ENSMUSG00000039953	358
ENSMUSG00000039953	822
ENSMUSG00000017716	947
ENSMUSG00000017716	3334
ENSMUSG00000030347	4107
ENSMUSG00000030347	2501
ENSMUSG00000030347	420
ENSMUSG00000030347	1458
ENSMUSG00000030347	550
ENSMUSG00000030347	477
ENSMUSG00000030347	639
ENSMUSG00000089694	1822
ENSMUSG00000089694	686
ENSMUSG00000029236	828
ENSMUSG00000042419	1447
ENSMUSG00000042419	662
ENSMUSG00000026459	1495
ENSMUSG00000074797	1390
ENSMUSG00000074797	479
ENSMUSG00000074797	374
ENSMUSG00000074797	656
ENSMUSG00000074797	747
ENSMUSG00000102937	1533
ENSMUSG00000029071	3358
ENSMUSG00000029071	4774
ENSMUSG00000029071	2797
ENSMUSG00000029071	3286
ENSMUSG00000029071	3284
ENSMUSG00000029071	393
ENSMUSG00000029071	707
ENSMUSG00000029071	2776
ENSMUSG00000092083	3963
ENSMUSG00000092083	14845
ENSMUSG00000030463	1413
ENSMUSG00000030463	895
ENSMUSG00000111297	454
ENSMUSG00000114163	1057
ENSMUSG00000104149	2089
ENSMUSG00000096320	1466
ENSMUSG00000096320	3193
ENSMUSG00000096320	1662
ENSMUSG00000096320	1545
ENSMUSG00000096320	945
ENSMUSG00000112273	369
ENSMUSG00000100938	1500
ENSMUSG00000100938	434
ENSMUSG00000024067	734
ENSMUSG00000024067	694
ENSMUSG00000024067	512
ENSMUSG00000024067	789
ENSMUSG00000024067	622
ENSMUSG00000024067	339
ENSMUSG00000113165	2173
ENSMUSG00000051262	1580
ENSMUSG00000051262	1821
ENSMUSG00000051262	1347
ENSMUSG00000011118	2531
ENSMUSG00000011118	603
ENSMUSG00000011118	1078
ENSMUSG00000101821	696
ENSMUSG00000034271	1645
ENSMUSG00000034271	1643
ENSMUSG00000034271	1559
ENSMUSG00000034271	349
ENSMUSG00000037405	2203
ENSMUSG00000037405	2535
ENSMUSG00000070330	1820
ENSMUSG00000101950	378
ENSMUSG00000103677	4727
ENSMUSG00000103677	797
ENSMUSG00000099441	615
ENSMUSG00000100411	696
ENSMUSG00000044583	3897
ENSMUSG00000044583	3776
ENSMUSG00000044583	3468
ENSMUSG00000044583	366
ENSMUSG00000044583	384
ENSMUSG00000044583	261
ENSMUSG00000100970	2167
ENSMUSG00000110327	533
ENSMUSG00000057446	2505
ENSMUSG00000100510	572
ENSMUSG00000100510	328
ENSMUSG00000100510	1609
ENSMUSG00000100510	1351
ENSMUSG00000100510	1946
ENSMUSG00000100510	1298
ENSMUSG00000100510	762
ENSMUSG00000100510	1314
ENSMUSG00000100510	668
ENSMUSG00000100510	933
ENSMUSG00000100510	486
ENSMUSG00000100510	595
ENSMUSG00000100510	877
ENSMUSG00000100510	928
ENSMUSG00000100510	1147
ENSMUSG00000100510	1171
ENSMUSG00000100510	633
ENSMUSG00000100510	575
ENSMUSG00000100510	517
ENSMUSG00000100510	2700
ENSMUSG00000100510	1418
ENSMUSG00000100510	1688
ENSMUSG00000100510	1310
ENSMUSG00000100510	1643
ENSMUSG00000100510	1776
ENSMUSG00000100510	1471
ENSMUSG00000100510	1152
ENSMUSG00000100510	482
ENSMUSG00000100510	513
ENSMUSG00000100510	644
ENSMUSG00000100510	490
ENSMUSG00000100510	3654
ENSMUSG00000100510	1767
ENSMUSG00000100510	1689
ENSMUSG00000100510	1365
ENSMUSG00000100510	286
ENSMUSG00000100510	400
ENSMUSG00000023015	3052
ENSMUSG00000023015	2933
ENSMUSG00000023015	962
ENSMUSG00000023015	433
ENSMUSG00000023015	4475
ENSMUSG00000023015	1031
ENSMUSG00000023015	1220
ENSMUSG00000023015	834
ENSMUSG00000023015	653
ENSMUSG00000023015	550
ENSMUSG00000023015	702
ENSMUSG00000023015	687
ENSMUSG00000023015	605
ENSMUSG00000023015	374
ENSMUSG00000101652	251
ENSMUSG00000090256	2166
ENSMUSG00000100814	100
ENSMUSG00000085549	543
ENSMUSG00000085549	391
ENSMUSG00000085549	463
ENSMUSG00000085549	386
ENSMUSG00000103567	4664
ENSMUSG00000017713	1770
ENSMUSG00000017713	2686
ENSMUSG00000017713	579
ENSMUSG00000103144	3247
ENSMUSG00000103144	4692
ENSMUSG00000052642	549
ENSMUSG00000101320	387
ENSMUSG00000101320	670
ENSMUSG00000044022	4705
ENSMUSG00000024736	3657
ENSMUSG00000024736	3895
ENSMUSG00000002033	1023
ENSMUSG00000002033	2539
ENSMUSG00000002033	412
ENSMUSG00000085434	1850
ENSMUSG00000050304	1369
ENSMUSG00000096476	331
ENSMUSG00000081770	1006
ENSMUSG00000031130	2772
ENSMUSG00000074796	3196
ENSMUSG00000074796	2832
ENSMUSG00000074796	2861
ENSMUSG00000074796	640
ENSMUSG00000074796	621
ENSMUSG00000114473	3955
ENSMUSG00000103309	2205
ENSMUSG00000069972	453
ENSMUSG00000029128	1697
ENSMUSG00000029128	1635
ENSMUSG00000029128	863
ENSMUSG00000029128	646
ENSMUSG00000029128	2891
ENSMUSG00000045062	3501
ENSMUSG00000098174	980
ENSMUSG00000114867	4221
ENSMUSG00000114867	1017
ENSMUSG00000114867	565
ENSMUSG00000082562	424
ENSMUSG00000109135	473
ENSMUSG00000071769	477
ENSMUSG00000071769	658
ENSMUSG00000071769	1053
ENSMUSG00000053113	2552
ENSMUSG00000053113	490
ENSMUSG00000053113	246
ENSMUSG00000111282	2192
ENSMUSG00000103956	406
ENSMUSG00000074373	702
ENSMUSG00000102697	5888
ENSMUSG00000104037	2497
ENSMUSG00000032375	4910
ENSMUSG00000032375	5102
ENSMUSG00000032375	682
ENSMUSG00000064128	4363
ENSMUSG00000064128	4756
ENSMUSG00000064128	423
ENSMUSG00000064128	1315
ENSMUSG00000064128	528
ENSMUSG00000047888	17332
ENSMUSG00000047888	3240
ENSMUSG00000047888	5215
ENSMUSG00000047888	3407
ENSMUSG00000047888	620
ENSMUSG00000047888	376
ENSMUSG00000047888	183
ENSMUSG00000047888	2053
ENSMUSG00000047888	3302
ENSMUSG00000047888	1774
ENSMUSG00000103440	1561
ENSMUSG00000032080	1815
ENSMUSG00000074579	2461
ENSMUSG00000074579	609
ENSMUSG00000074579	465
ENSMUSG00000074579	2169
ENSMUSG00000074579	1509
ENSMUSG00000074579	1375
ENSMUSG00000074579	1864
ENSMUSG00000024737	414
ENSMUSG00000024737	2345
ENSMUSG00000024737	361
ENSMUSG00000024737	4868
ENSMUSG00000109457	165
ENSMUSG00000046456	2822
ENSMUSG00000046456	1341
ENSMUSG00000109463	815
ENSMUSG00000024410	1282
ENSMUSG00000024410	2170
ENSMUSG00000024410	725
ENSMUSG00000024410	2297
ENSMUSG00000024410	424
ENSMUSG00000024410	595
ENSMUSG00000024410	3776
ENSMUSG00000024410	913
ENSMUSG00000024410	652
ENSMUSG00000024410	476
ENSMUSG00000024410	563
ENSMUSG00000024410	534
ENSMUSG00000101029	509
ENSMUSG00000113050	1575
ENSMUSG00000030577	3974
ENSMUSG00000030577	3603
ENSMUSG00000030577	3633
ENSMUSG00000030577	3819
ENSMUSG00000030577	3672
ENSMUSG00000030577	3230
ENSMUSG00000030577	3223
ENSMUSG00000030577	1990
ENSMUSG00000030577	537
ENSMUSG00000030577	466
ENSMUSG00000030577	489
ENSMUSG00000030577	370
ENSMUSG00000030577	420
ENSMUSG00000030577	367
ENSMUSG00000030577	347
ENSMUSG00000030577	358
ENSMUSG00000110790	3485
ENSMUSG00000047143	2922
ENSMUSG00000092301	482
ENSMUSG00000059119	2285
ENSMUSG00000059119	2259
ENSMUSG00000059119	2281
ENSMUSG00000059119	661
ENSMUSG00000059119	659
ENSMUSG00000059119	658
ENSMUSG00000059119	341
ENSMUSG00000059119	352
ENSMUSG00000059119	185
ENSMUSG00000043484	592
ENSMUSG00000090098	2290
ENSMUSG00000090098	1170
ENSMUSG00000105084	2106
ENSMUSG00000107472	465
ENSMUSG00000025495	899
ENSMUSG00000025495	669
ENSMUSG00000025495	482
ENSMUSG00000025495	3624
ENSMUSG00000025495	2119
ENSMUSG00000025495	655
ENSMUSG00000025495	424
ENSMUSG00000025495	387
ENSMUSG00000025495	835
ENSMUSG00000025495	564
ENSMUSG00000025495	408
ENSMUSG00000035390	2867
ENSMUSG00000035390	2996
ENSMUSG00000035390	1216
ENSMUSG00000035390	1398
ENSMUSG00000035390	610
ENSMUSG00000062234	2269
ENSMUSG00000062234	4453
ENSMUSG00000062234	4310
ENSMUSG00000062234	4487
ENSMUSG00000062234	625
ENSMUSG00000062234	3532
ENSMUSG00000062234	644
ENSMUSG00000062234	402
ENSMUSG00000062234	3846
